_id,ID,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATA_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,MI_PRINX,ATTRACTION_LEVEL,ATTRACTION_DESC,IMAGE_NAME,MAP_ACCESS,geometry
21,21,,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,,www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,7063040.0,,7063040.0,61.0,Claireville Dr,61 Claireville Dr,M9W 5Z7,ETOBICOKE,Toronto,,114001.0,7063031.0,61.0,,,,1350.0,,,,,21,2361585.0,4,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,Imageplaceholder.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.624999348, 43.7392830562)}"
22,22,,Canadian Sculpture Centre,Gallery,647-435-5858,,http://www.cansculpt.org/presentExhibitions.php,7730188.0,,7730188.0,500.0,Church St,500 Church St,M4Y 2C8,former TORONTO,Toronto,,115001.0,7730338.0,500.0,,,,503.0,,,,,22,2303768.0,5,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,,N,"{u'type': u'Point', u'coordinates': (-79.380514364, 43.6639816755)}"
23,23,,Casa Loma,Attraction,416-923-1171,,www.casaloma.ca,10663925.0,,10663925.0,1.0,Austin Ter,1 Austin Ter,M5R 1X8,former TORONTO,Toronto,Casa Loma,107010.0,10663924.0,1.0,,,,2922.0,,,,,23,2241692.0,1,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.",CasaLoma.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4095237552, 43.6781131638)}"
24,24,,CBC Museum,Museum,416-205-5574,,http://www.cbc.ca/museum/,10598280.0,,10598280.0,250.0,Front St W,250 Front St W,M5V 3G5,former TORONTO,Toronto,,115001.0,10598276.0,250.0,,,,3472.0,,,,,24,2650427.0,3,The CBC Museum features various CBC archival materials that date back to 1936. The museum also features the Graham Spry Theatre and a number of interactive exhibits.,CBCMuseum.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3877032026, 43.6444179128)}"
25,25,,Cedar Ridge Creative Centre,Nature/ Park,416-396-4026,,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d1afc3513a110410VgnVCM10000071d60f89RCRD,322165.0,,322165.0,225.0,Confederation Dr,225 Confederation Dr,M1G 1B2,SCARBOROUGH,Toronto,Cedar Ridge Park,106007.0,109219.0,225.0,,,,7639.0,,,,,25,3838177.0,4,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.",Imageplaceholder.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.2071317636, 43.7574302123)}"
26,26,,Centennial Park,Nature/ Park,416-394-8750,,http://www1.toronto.ca/parks/prd/facilities/complex/798/,7472090.0,,7472090.0,256.0,Centennial Park Rd,256 Centennial Park Rd,M9C 5N3,ETOBICOKE,Toronto,Centennial Park - Etobicoke,115001.0,30053225.0,256.0,,,,1322.0,,,,,26,3836085.0,3,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada's 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.",CentennialPark.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.5868643695, 43.6573190778)}"
27,27,,Centennial Park Conservatory,Nature/ Park,416-394-8543,,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=a7b9dada600f0410VgnVCM10000071d60f89RCRD,5495477.0,,5495477.0,151.0,Elmcrest Rd,151 Elmcrest Rd,,ETOBICOKE,Toronto,Centennial Park Conservatory,106001.0,30009179.0,151.0,,,,1543.0,,,,,27,4200895.0,3,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.",Imageplaceholder.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.5883418546, 43.6494661977)}"
28,28,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centre Island Beach,Nature/ Park,311,,http://app.toronto.ca/tpha/beach/5.html,8133372.0,,8133372.0,1.0,Avenue Of The Islands,1 Avenue Of The Islands,,former TORONTO,Toronto,,115001.0,8128883.0,1.0,,,,11373.0,,,,,28,3363020.0,3,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,CentreIslandBeach.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3717608815, 43.6165995233)}"
29,29,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centreville Amusement Park,Attraction,416-203-0405,,http://www.centreisland.ca/,8133385.0,,8133385.0,21.0,Avenue Of The Islands,21 Avenue Of The Islands,,former TORONTO,Toronto,,115001.0,30084435.0,21.0,,,,11373.0,,,,,29,4159572.0,1,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.",Centreville.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3731809303, 43.6204069938)}"
30,30,,Cherry Beach/ Clarke Beach Park,Nature/ Park,311,,http://www1.toronto.ca/parks/prd/facilities/complex/209/,10495088.0,,10495088.0,275.0,Unwin Ave,275 Unwin Ave,,former TORONTO,Toronto,Cherry Beach Sports Fields,106005.0,30068422.0,275.0,,,,4587.0,,,,,30,4170002.0,3,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.",CherryBeach.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3416277597, 43.6411752601)}"
31,31,,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,,http://www.cccgt.org/index.php/en/,13504489.0,,13504489.0,5183.0,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,SCARBOROUGH,Toronto,,107010.0,30063121.0,5183.0,,,,6698.0,,,,,31,3814396.0,4,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.",Imageplaceholder.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.2334874799, 43.7946756375)}"
32,32,,Cloud Gardens Conservatory,Garden / Conservatory,416-392-7288,,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=355cfe59abc61410VgnVCM10000071d60f89RCRD,8677073.0,,8677073.0,14.0,Temperance St,14 Temperance St,M5H 1Y4,former TORONTO,Toronto,Cloud Gardens,115001.0,30100056.0,14.0,,,,4536.0,,,,,32,4250856.0,4,"Renovated in 2014, the conservatory is situated within the heart of the city's financial district. It features a small greenhouse that is set to the conditions of a rainforest.",,N,"{u'type': u'Point', u'coordinates': (-79.3797097323, 43.6510765247)}"
33,33,,CN Tower,Attraction,416-868-6937,,http://www.cntower.ca/,10598279.0,,10598279.0,301.0,Front St W,301 Front St W,M5V 2T6,former TORONTO,Toronto,CN Tower,107010.0,7929684.0,301.0,,,,3472.0,,,,,33,2252756.0,1,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.",CNTower.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3871230676, 43.6425955989)}"
34,34,,Colborne Lodge,Museum,416-392-6916,,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=5e5c2271635af310VgnVCM10000071d60f89RCRD,7730490.0,,7730490.0,11.0,Colborne Lodge Dr,11 Colborne Lodge Dr,,former TORONTO,Toronto,Colborne Lodge(Howard House),107008.0,30063345.0,11.0,,,,3197.0,,,,,34,3816049.0,3,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,ColborneLodge.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4599634886, 43.6403479568)}"
35,35,,Dancemakers and the Centre for Creation,Performing Arts,416-367-1800,,http://dancemakers.org/,30032097.0,,30032097.0,9.0,Trinity St,9 Trinity St,M5A 3C4,former TORONTO,Toronto,,115001.0,30029438.0,9.0,,,,4574.0,,,,,35,3232761.0,5,"One of Toronto's professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.",,N,"{u'type': u'Point', u'coordinates': (-79.3592607925, 43.6500261228)}"
36,36,,Design Exchange,Museum,416-363-6121,,ww.dx.org/,14206258.0,,14206258.0,234.0,Bay St,234 Bay St,,former TORONTO,Toronto,,115001.0,8087327.0,234.0,,,,2962.0,,,,,36,2593198.0,2,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,DesignExchange.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3804836813, 43.6481450889)}"
37,37,,Downsview Park,Nature/ Park,416-952-2222,,www.downsviewpark.ca,13494845.0,,13494845.0,35.0,Carl Hall Rd,35 Carl Hall Rd,M3K 2B6,NORTH YORK,Toronto,,113001.0,6248382.0,35.0,,,,11506.0,,,,,37,3011325.0,3,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.",DownsviewPark.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4791568354, 43.7466580331)}"
38,38,,Ed Mirvish Theatre,Performing Arts,416-872-1212,,www.mirvish.com/theatres/edmirvishtheatre,14199877.0,,14199877.0,244.0,Victoria St,244 Victoria St,M5B 1V8,former TORONTO,Toronto,,115001.0,7641770.0,244.0,,,,9790.0,,,,,38,2398205.0,1,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.",EdMirvish.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3793983138, 43.6552463897)}"
39,39,,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-2901,,http://www.heritagetrust.on.ca/ewg/home.aspx,7762814.0,,7762814.0,189.0,Yonge St,189 Yonge St,M5B 1M4,former TORONTO,Toronto,,107002.0,7762785.0,189.0,,,,4733.0,,,,,39,2001997.0,2,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,Elgin.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3792005862, 43.6530564935)}"
40,40,,Enercare Centre (formely known as Direct Energy Centre),Convention & Trade Centres,416-263-3000,,www.enercarecentre.com/,13497734.0,,13497734.0,100.0,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former TORONTO,Toronto,CNE Direct Energy Centre,107007.0,14065264.0,100.0,,,,20228.0,,,,,40,4163968.0,2,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.",EnercareCentre.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4125515738, 43.6345302836)}"
41,41,,Evergreen Brick Works,Attraction,416-596-1495,,http://www.evergreen.ca/get-involved/evergreen-brick-works/,17494.0,,17494.0,550.0,Bayview Ave,550 Bayview Ave,M4W 3X8,EAST YORK,Toronto,Don Valley Brick Works,113001.0,30071848.0,550.0,,,,24.0,,,,,41,4068255.0,3,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.",EvergreenBrickworks.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.365627972, 43.68378335)}"
42,42,,Exhibition Place,Convention & Trade Centres,416-263-3000,,www.explace.on.ca,13497734.0,,13497734.0,100.0,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former TORONTO,Toronto,CNE Direct Energy Centre,107007.0,14065264.0,100.0,,,,20228.0,,,,,42,4163968.0,2,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.",ExPlace.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4125515738, 43.6345302836)}"
43,43,,Factory Theatre,Performing Arts,416-504-991,,https://www.factorytheatre.ca,8457322.0,,8457322.0,125.0,Bathurst St,125 Bathurst St,M5V 2R2,former TORONTO,Toronto,,115001.0,8457317.0,125.0,,,,436.0,,,,,43,2383679.0,3,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.",FactoryTheatre.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4027144459, 43.6455706345)}"
44,44,,Famous PEOPLE Players,Performing Arts,416-532-1137,,www.famouspeopleplayers.com/,30063014.0,,30063014.0,343.0,Evans Ave,343 Evans Ave,M8Z 1K2,ETOBICOKE,Toronto,,112001.0,913771.0,343.0,,,,1575.0,,,,,44,3814167.0,3,"Located in Toronto's West End, Famous PEOPLE Players allows visitors to immerse themselves in a unique dining experience while enjoying theatre in the dark.",FamousPeoplePlayers.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.5207676363, 43.6151637968)}"
45,45,,Fort York National Historic Site,Museum,416-392-6907,,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=b59c2271635af310VgnVCM10000071d60f89RCRD,30017954.0,,30017954.0,250.0,Fort York Blvd,250 Fort York Blvd,M5V 3K9,former TORONTO,Toronto,,104008.0,30013783.0,250.0,,,,15826.0,,,,,45,3004743.0,2,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.",FortYork.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.4049772877, 43.6383700704)}"
46,46,,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231,,www.coc.ca/AboutTheCOC/FourSeasonsCentre,856378.0,,856378.0,145.0,Queen St W,145 Queen St W,M5H 4G1,former TORONTO,Toronto,Four Seasons Centre for the Performing A,107002.0,1145285.0,145.0,,,,4238.0,,,,,46,1884457.0,2,The Four Seasons Centre for the Performing Arts is home to the Canadian Opera Company and the National Ballet of Canada.,FourSeasonsCentre.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3858065613, 43.6506187935)}"
47,47,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West,Franklin Children's Garden,Garden / Conservatory,416-397-2628,,www1.toronto.ca/wps/portal/contentonly?vgnextoid=e9b8dada600f0410VgnVCM10000071d60f89RCRD,14258202.0,,14258202.0,30.0,Centre Island Pk,30 Centre Island Pk,M5J 2E9,former TORONTO,Toronto,,102008.0,1147832.0,30.0,,,,17507.0,,,,,47,1713485.0,4,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.",,N,"{u'type': u'Point', u'coordinates': (-79.3783881351, 43.6157002779)}"
48,48,,Gallery Indigena,Gallery,416-366-3000,,www.galleryindigena.com,30032158.0,,30032158.0,46.0,Gristmill Lane,46 Gristmill Lane,M5A 3C4,former TORONTO,Toronto,,115001.0,30029430.0,46.0,,,,19554.0,,,,,48,3233105.0,4,"Located in the Distillery District, the Eskimo Art Gallery offers Inuit art.",,N,"{u'type': u'Point', u'coordinates': (-79.3600412661, 43.6500618262)}"
49,49,,Gardiner Museum of Ceramic Art,Museum,416-586-8080,,www.gardinermuseum.on.ca,8408486.0,,8408486.0,111.0,Queen's Park,111 Queen's Park,M5S 2C7,former TORONTO,Toronto,,115001.0,8408484.0,111.0,,,,11267.0,,,,,49,2942367.0,2,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.",GardinerMuseum.jpg,Y,"{u'type': u'Point', u'coordinates': (-79.3935095153, 43.6679851903)}"
50,50,,George Ignatieff Theatre,Performing Arts,416-978-3862,,www.trinity.utoronto.ca/visit/index.html,8408609.0,,8408609.0,15.0,Devonshire Pl,15 Devonshire Pl,M5S 2C8,former TORONTO,Toronto,,107002.0,8408578.0,15.0,,,,3293.0,,,,,50,2163690.0,5,"In the Trinity College community, the George Ignatieff Theatre acts as a creative hub ranging from events like theatre, conferences, and much more.",,N,"{u'type': u'Point', u'coordinates': (-79.3971112471, 43.6658419856)}"
